,ano,uf,genero,mes,numero
141,2019,Paraíba,Masculino,Outubro,0
142,2019,Paraíba,Masculino,Novembro,2
143,2019,Paraíba,Masculino,Dezembro,1
144,2019,Pernambuco,Masculino,Janeiro,11
145,2019,Pernambuco,Masculino,Fevereiro,23
146,2019,Pernambuco,Masculino,Março,14
147,2019,Pernambuco,Masculino,Abril,8
148,2019,Pernambuco,Masculino,Maio,6
149,2019,Pernambuco,Masculino,Junho,6
150,2019,Pernambuco,Masculino,Julho,9
151,2019,Pernambuco,Masculino,Agosto,9
152,2019,Pernambuco,Masculino,Setembro,9
153,2019,Pernambuco,Masculino,Outubro,11
154,2019,Pernambuco,Masculino,Novembro,5
155,2019,Pernambuco,Masculino,Dezembro,13
156,2019,Alagoas,Masculino,Janeiro,0
157,2019,Alagoas,Masculino,Fevereiro,4
158,2019,Alagoas,Masculino,Março,1
159,2019,Alagoas,Masculino,Abril,2
160,2019,Alagoas,Masculino,Maio,3
161,2019,Alagoas,Masculino,Junho,0
162,2019,Alagoas,Masculino,Julho,0
163,2019,Alagoas,Masculino,Agosto,1
164,2019,Alagoas,Masculino,Setembro,4
165,2019,Alagoas,Masculino,Outubro,5
166,2019,Alagoas,Masculino,Novembro,3
167,2019,Alagoas,Masculino,Dezembro,2
168,2019,Sergipe,Masculino,Janeiro,1
169,2019,Sergipe,Masculino,Fevereiro,1
170,2019,Sergipe,Masculino,Março,2
171,2019,Sergipe,Masculino,Abril,1
172,2019,Sergipe,Masculino,Maio,2
173,2019,Sergipe,Masculino,Junho,1
174,2019,Sergipe,Masculino,Julho,1
175,2019,Sergipe,Masculino,Agosto,0
176,2019,Sergipe,Masculino,Setembro,4
177,2019,Sergipe,Masculino,Outubro,0
178,2019,Sergipe,Masculino,Novembro,1
179,2019,Sergipe,Masculino,Dezembro,0
180,2019,Bahia,Masculino,Janeiro,9
181,2019,Bahia,Masculino,Fevereiro,12
182,2019,Bahia,Masculino,Março,12
183,2019,Bahia,Masculino,Abril,11
184,2019,Bahia,Masculino,Maio,8
185,2019,Bahia,Masculino,Junho,7
186,2019,Bahia,Masculino,Julho,10
187,2019,Bahia,Masculino,Agosto,12
188,2019,Bahia,Masculino,Setembro,6
189,2019,Bahia,Masculino,Outubro,16
190,2019,Bahia,Masculino,Novembro,7
191,2019,Bahia,Masculino,Dezembro,16
192,2019,Minas Gerais,Masculino,Janeiro,48
193,2019,Minas Gerais,Masculino,Fevereiro,32
194,2019,Minas Gerais,Masculino,Março,23
195,2019,Minas Gerais,Masculino,Abril,30
196,2019,Minas Gerais,Masculino,Maio,26
197,2019,Minas Gerais,Masculino,Junho,16
198,2019,Minas Gerais,Masculino,Julho,24
199,2019,Minas Gerais,Masculino,Agosto,30
200,2019,Minas Gerais,Masculino,Setembro,32
201,2019,Minas Gerais,Masculino,Outubro,29
202,2019,Minas Gerais,Masculino,Novembro,34
203,2019,Minas Gerais,Masculino,Dezembro,27
204,2019,Espírito Santo,Masculino,Janeiro,3
205,2019,Espírito Santo,Masculino,Fevereiro,8
206,2019,Espírito Santo,Masculino,Março,2
207,2019,Espírito Santo,Masculino,Abril,3
208,2019,Espírito Santo,Masculino,Maio,5
209,2019,Espírito Santo,Masculino,Junho,5
210,2019,Espírito Santo,Masculino,Julho,7
211,2019,Espírito Santo,Masculino,Agosto,3
212,2019,Espírito Santo,Masculino,Setembro,6
213,2019,Espírito Santo,Masculino,Outubro,5
214,2019,Espírito Santo,Masculino,Novembro,5
215,2019,Espírito Santo,Masculino,Dezembro,4
216,2019,Rio de Janeiro,Masculino,Janeiro,59
217,2019,Rio de Janeiro,Masculino,Fevereiro,52
218,2019,Rio de Janeiro,Masculino,Março,44
219,2019,Rio de Janeiro,Masculino,Abril,30
220,2019,Rio de Janeiro,Masculino,Maio,35
221,2019,Rio de Janeiro,Masculino,Junho,28
222,2019,Rio de Janeiro,Masculino,Julho,24
223,2019,Rio de Janeiro,Masculino,Agosto,29
224,2019,Rio de Janeiro,Masculino,Setembro,30
225,2019,Rio de Janeiro,Masculino,Outubro,27
226,2019,Rio de Janeiro,Masculino,Novembro,25
227,2019,Rio de Janeiro,Masculino,Dezembro,27
228,2019,São Paulo,Masculino,Janeiro,201
229,2019,São Paulo,Masculino,Fevereiro,126
230,2019,São Paulo,Masculino,Março,119
231,2019,São Paulo,Masculino,Abril,86
232,2019,São Paulo,Masculino,Maio,90
233,2019,São Paulo,Masculino,Junho,122
234,2019,São Paulo,Masculino,Julho,122
235,2019,São Paulo,Masculino,Agosto,112
236,2019,São Paulo,Masculino,Setembro,113
237,2019,São Paulo,Masculino,Outubro,99
238,2019,São Paulo,Masculino,Novembro,132
239,2019,São Paulo,Masculino,Dezembro,131
240,2019,Paraná,Masculino,Janeiro,24
241,2019,Paraná,Masculino,Fevereiro,26
242,2019,Paraná,Masculino,Março,16
243,2019,Paraná,Masculino,Abril,12
244,2019,Paraná,Masculino,Maio,16
245,2019,Paraná,Masculino,Junho,12
246,2019,Paraná,Masculino,Julho,10
247,2019,Paraná,Masculino,Agosto,13
248,2019,Paraná,Masculino,Setembro,7
249,2019,Paraná,Masculino,Outubro,20
250,2019,Paraná,Masculino,Novembro,15
251,2019,Paraná,Masculino,Dezembro,14
252,2019,Santa Catarina,Masculino,Janeiro,24
253,2019,Santa Catarina,Masculino,Fevereiro,21
254,2019,Santa Catarina,Masculino,Março,14
255,2019,Santa Catarina,Masculino,Abril,12
256,2019,Santa Catarina,Masculino,Maio,11
257,2019,Santa Catarina,Masculino,Junho,11
258,2019,Santa Catarina,Masculino,Julho,20
259,2019,Santa Catarina,Masculino,Agosto,17
260,2019,Santa Catarina,Masculino,Setembro,13
261,2019,Santa Catarina,Masculino,Outubro,11
262,2019,Santa Catarina,Masculino,Novembro,11
263,2019,Santa Catarina,Masculino,Dezembro,15
264,2019,Rio Grande do Sul,Masculino,Janeiro,33
265,2019,Rio Grande do Sul,Masculino,Fevereiro,33
266,2019,Rio Grande do Sul,Masculino,Março,16
267,2019,Rio Grande do Sul,Masculino,Abril,11
268,2019,Rio Grande do Sul,Masculino,Maio,7
269,2019,Rio Grande do Sul,Masculino,Junho,8
270,2019,Rio Grande do Sul,Masculino,Julho,7
271,2019,Rio Grande do Sul,Masculino,Agosto,5
272,2019,Rio Grande do Sul,Masculino,Setembro,11
273,2019,Rio Grande do Sul,Masculino,Outubro,11
274,2019,Rio Grande do Sul,Masculino,Novembro,18
275,2019,Rio Grande do Sul,Masculino,Dezembro,20
276,2019,Mato Grosso do Sul,Masculino,Janeiro,5
277,2019,Mato Grosso do Sul,Masculino,Fevereiro,3
278,2019,Mato Grosso do Sul,Masculino,Março,5
279,2019,Mato Grosso do Sul,Masculino,Abril,2
280,2019,Mato Grosso do Sul,Masculino,Maio,1
281,2019,Mato Grosso do Sul,Masculino,Junho,1
282,2019,Mato Grosso do Sul,Masculino,Julho,1
283,2019,Mato Grosso do Sul,Masculino,Agosto,1
284,2019,Mato Grosso do Sul,Masculino,Setembro,5
285,2019,Mato Grosso do Sul,Masculino,Outubro,4
286,2019,Mato Grosso do Sul,Masculino,Novembro,4
287,2019,Mato Grosso do Sul,Masculino,Dezembro,3
288,2019,Mato Grosso,Masculino,Janeiro,2
289,2019,Mato Grosso,Masculino,Fevereiro,3
290,2019,Mato Grosso,Masculino,Março,7
291,2019,Mato Grosso,Masculino,Abril,6
292,2019,Mato Grosso,Masculino,Maio,5
293,2019,Mato Grosso,Masculino,Junho,6
294,2019,Mato Grosso,Masculino,Julho,1
295,2019,Mato Grosso,Masculino,Agosto,0
296,2019,Mato Grosso,Masculino,Setembro,0
297,2019,Mato Grosso,Masculino,Outubro,0
298,2019,Mato Grosso,Masculino,Novembro,0
299,2019,Mato Grosso,Masculino,Dezembro,1
300,2019,Goiás,Masculino,Janeiro,2
301,2019,Goiás,Masculino,Fevereiro,3
302,2019,Goiás,Masculino,Março,2
303,2019,Goiás,Masculino,Abril,0
304,2019,Goiás,Masculino,Maio,0
305,2019,Goiás,Masculino,Junho,6
306,2019,Goiás,Masculino,Julho,3
307,2019,Goiás,Masculino,Agosto,4
308,2019,Goiás,Masculino,Setembro,8
309,2019,Goiás,Masculino,Outubro,12
310,2019,Goiás,Masculino,Novembro,9
311,2019,Goiás,Masculino,Dezembro,9
312,2019,Distrito Federal,Masculino,Janeiro,25
313,2019,Distrito Federal,Masculino,Fevereiro,14
314,2019,Distrito Federal,Masculino,Março,10
315,2019,Distrito Federal,Masculino,Abril,14
316,2019,Distrito Federal,Masculino,Maio,7
317,2019,Distrito Federal,Masculino,Junho,9
318,2019,Distrito Federal,Masculino,Julho,2
319,2019,Distrito Federal,Masculino,Agosto,10
320,2019,Distrito Federal,Masculino,Setembro,13
321,2019,Distrito Federal,Masculino,Outubro,9
322,2019,Distrito Federal,Masculino,Novembro,9
323,2019,Distrito Federal,Masculino,Dezembro,10
324,2015,Rondônia,Masculino,Janeiro,1
325,2015,Rondônia,Masculino,Fevereiro,0
326,2015,Rondônia,Masculino,Março,1
327,2015,Rondônia,Masculino,Abril,0
328,2015,Rondônia,Masculino,Maio,0
329,2015,Rondônia,Masculino,Junho,0
330,2015,Rondônia,Masculino,Julho,3
331,2015,Rondônia,Masculino,Agosto,1
332,2015,Rondônia,Masculino,Setembro,0
333,2015,Rondônia,Masculino,Outubro,0
334,2015,Rondônia,Masculino,Novembro,0
335,2015,Rondônia,Masculino,Dezembro,1
336,2015,Acre,Masculino,Janeiro,0
337,2015,Acre,Masculino,Fevereiro,0
338,2015,Acre,Masculino,Março,0
339,2015,Acre,Masculino,Abril,0
340,2015,Acre,Masculino,Maio,0
341,2015,Acre,Masculino,Junho,0
342,2015,Acre,Masculino,Julho,0
343,2015,Acre,Masculino,Agosto,0
344,2015,Acre,Masculino,Setembro,0
345,2015,Acre,Masculino,Outubro,0
346,2015,Acre,Masculino,Novembro,0
347,2015,Acre,Masculino,Dezembro,0
348,2015,Amazonas,Masculino,Janeiro,0
349,2015,Amazonas,Masculino,Fevereiro,6
350,2015,Amazonas,Masculino,Março,3
351,2015,Amazonas,Masculino,Abril,2
352,2015,Amazonas,Masculino,Maio,4
353,2015,Amazonas,Masculino,Junho,4
354,2015,Amazonas,Masculino,Julho,7
355,2015,Amazonas,Masculino,Agosto,6
356,2015,Amazonas,Masculino,Setembro,0
357,2015,Amazonas,Masculino,Outubro,4
358,2015,Amazonas,Masculino,Novembro,3
359,2015,Amazonas,Masculino,Dezembro,5
360,2015,Roraima,Masculino,Janeiro,0
361,2015,Roraima,Masculino,Fevereiro,0
362,2015,Roraima,Masculino,Março,0
363,2015,Roraima,Masculino,Abril,0
364,2015,Roraima,Masculino,Maio,0
365,2015,Roraima,Masculino,Junho,0
