,ano,uf,genero,mes,numero,numero_mes,data
89,2019,Maranhão,Masculino,Junho,2,06,2019-06-01
90,2019,Maranhão,Masculino,Julho,1,07,2019-07-01
91,2019,Maranhão,Masculino,Agosto,0,08,2019-08-01
92,2019,Maranhão,Masculino,Setembro,1,09,2019-09-01
93,2019,Maranhão,Masculino,Outubro,0,10,2019-10-01
94,2019,Maranhão,Masculino,Novembro,3,11,2019-11-01
95,2019,Maranhão,Masculino,Dezembro,2,12,2019-12-01
96,2019,Piauí,Masculino,Janeiro,1,01,2019-01-01
97,2019,Piauí,Masculino,Fevereiro,4,02,2019-02-01
98,2019,Piauí,Masculino,Março,0,03,2019-03-01
99,2019,Piauí,Masculino,Abril,1,04,2019-04-01
100,2019,Piauí,Masculino,Maio,0,05,2019-05-01
101,2019,Piauí,Masculino,Junho,0,06,2019-06-01
102,2019,Piauí,Masculino,Julho,1,07,2019-07-01
103,2019,Piauí,Masculino,Agosto,2,08,2019-08-01
104,2019,Piauí,Masculino,Setembro,3,09,2019-09-01
105,2019,Piauí,Masculino,Outubro,1,10,2019-10-01
106,2019,Piauí,Masculino,Novembro,2,11,2019-11-01
107,2019,Piauí,Masculino,Dezembro,0,12,2019-12-01
108,2019,Ceará,Masculino,Janeiro,21,01,2019-01-01
109,2019,Ceará,Masculino,Fevereiro,10,02,2019-02-01
110,2019,Ceará,Masculino,Março,8,03,2019-03-01
111,2019,Ceará,Masculino,Abril,8,04,2019-04-01
112,2019,Ceará,Masculino,Maio,8,05,2019-05-01
113,2019,Ceará,Masculino,Junho,9,06,2019-06-01
114,2019,Ceará,Masculino,Julho,10,07,2019-07-01
115,2019,Ceará,Masculino,Agosto,4,08,2019-08-01
116,2019,Ceará,Masculino,Setembro,4,09,2019-09-01
117,2019,Ceará,Masculino,Outubro,7,10,2019-10-01
118,2019,Ceará,Masculino,Novembro,10,11,2019-11-01
119,2019,Ceará,Masculino,Dezembro,8,12,2019-12-01
120,2019,Rio Grande do Norte,Masculino,Janeiro,6,01,2019-01-01
121,2019,Rio Grande do Norte,Masculino,Fevereiro,9,02,2019-02-01
122,2019,Rio Grande do Norte,Masculino,Março,4,03,2019-03-01
123,2019,Rio Grande do Norte,Masculino,Abril,2,04,2019-04-01
124,2019,Rio Grande do Norte,Masculino,Maio,4,05,2019-05-01
125,2019,Rio Grande do Norte,Masculino,Junho,7,06,2019-06-01
126,2019,Rio Grande do Norte,Masculino,Julho,2,07,2019-07-01
127,2019,Rio Grande do Norte,Masculino,Agosto,5,08,2019-08-01
128,2019,Rio Grande do Norte,Masculino,Setembro,3,09,2019-09-01
129,2019,Rio Grande do Norte,Masculino,Outubro,2,10,2019-10-01
130,2019,Rio Grande do Norte,Masculino,Novembro,6,11,2019-11-01
131,2019,Rio Grande do Norte,Masculino,Dezembro,3,12,2019-12-01
132,2019,Paraíba,Masculino,Janeiro,9,01,2019-01-01
133,2019,Paraíba,Masculino,Fevereiro,3,02,2019-02-01
134,2019,Paraíba,Masculino,Março,3,03,2019-03-01
135,2019,Paraíba,Masculino,Abril,0,04,2019-04-01
136,2019,Paraíba,Masculino,Maio,5,05,2019-05-01
137,2019,Paraíba,Masculino,Junho,2,06,2019-06-01
138,2019,Paraíba,Masculino,Julho,1,07,2019-07-01
139,2019,Paraíba,Masculino,Agosto,2,08,2019-08-01
140,2019,Paraíba,Masculino,Setembro,1,09,2019-09-01
141,2019,Paraíba,Masculino,Outubro,0,10,2019-10-01
142,2019,Paraíba,Masculino,Novembro,2,11,2019-11-01
143,2019,Paraíba,Masculino,Dezembro,1,12,2019-12-01
144,2019,Pernambuco,Masculino,Janeiro,11,01,2019-01-01
145,2019,Pernambuco,Masculino,Fevereiro,23,02,2019-02-01
146,2019,Pernambuco,Masculino,Março,14,03,2019-03-01
147,2019,Pernambuco,Masculino,Abril,8,04,2019-04-01
148,2019,Pernambuco,Masculino,Maio,6,05,2019-05-01
149,2019,Pernambuco,Masculino,Junho,6,06,2019-06-01
150,2019,Pernambuco,Masculino,Julho,9,07,2019-07-01
151,2019,Pernambuco,Masculino,Agosto,9,08,2019-08-01
152,2019,Pernambuco,Masculino,Setembro,9,09,2019-09-01
153,2019,Pernambuco,Masculino,Outubro,11,10,2019-10-01
